nb,province,kttruc
1,An Giang,104.75
2,Bà Rịa - Vũng Tàu,107.75
3,Bắc Giang,107
4,Bắc Kạn,106.5
5,Bạc Liêu,105
6,Bắc Ninh,105.5
7,Bến Tre,105.75
8,Bình Định,108.25
9,Bình Dương,105.75
10,Bình Phước,106.25
11,Bình Thuận,108.5
12,Cà Mau,104.5
13,Cần Thơ,105
14,Cao Bằng,105.75
15,Đà Nẵng,107.75
16,Đắc Lắc,108.5
17,Đồng Nai,107.75
18,Đồng Tháp,105
19,Gia Lai,108.5
20,Hà Giang,105.5
21,Hà Nam,105
22,Hà Nội,105
23,Hà Tây,105
24,Hà Tĩnh,105.5
25,Hải Dương,105.5
26,Hải Phòng,105.75
27,Hoà Bình,106
28,Hưng Yên,105.5
29,Khánh Hoà,108.25
30,Kiên Giang,104.5
31,Kon Tum,107.5
32,Lai Châu,103
33,Lâm Đồng,107.75
34,Lạng Sơn,107.25
35,Lào Cai,104.75
36,Long An,105.75
37,Nam Định,105.5
38,Nghệ An,104.75
39,Ninh Bình,105
40,Ninh Thuận,108.25
41,Phú Thọ,104.75
42,Phú Yên,108.5
43,Quảng Bình,106
44,Quảng Nam,107.75
45,Quảng Ngãi,108
46,Quảng Ninh,107.75
47,Quảng Trị,106.25
48,Sóc Trăng,105.5
49,Sơn La,104
50,Tây Ninh,105.5
51,Thái Bình,105.5
52,Thái Nguyên,106.5
53,Thanh Hoá,105
54,Thành phố Hồ Chí Minh,105.75
55,Thừa Thiên - Huế,107
56,Tiền Giang,105.75
57,Trà Vinh,105.5
58,Tuyên Quang,106
59,Vĩnh Long,105.5
60,Vĩnh Phúc,105
61,Yên Bái,104.75